"Imagens","Energia","Tempo"
"image 1","372.12589999999994","19.854598865629995"
"image 2","369.80199999999996","19.958800658290002"
"image 3","373.00749999999994","19.92092247269"
"image 4","370.96079999999995","20.00058518022"
"image 5","371.3319000000001","19.98724036409"
"image 6","370.8643999999999","19.915750923579996"
"image 7","371.494","19.991328371150004"
"image 8","372.2804999999999","19.96206249785"
"image 9","373.09729999999996","19.86271076863"
"image 10","370.75689999999986","19.88396696868"
"image 11","370.2871999999999","19.973327994930006"
"image 12","370.55009999999993","19.97546840359001"
"image 13","370.0170000000001","19.98730668203"
"image 14","373.04589999999996","19.84061720605"
"image 15","371.2923000000001","19.94867804893"
"image 16","373.4700000000001","19.882936320559992"
"image 17","368.5618","19.985601221200007"
"image 18","369.94010000000003","19.937552187270004"
"image 19","373.1516","19.894753577689993"
"image 20","369.62789999999984","19.991886841280003"
"image 21","371.0354000000001","19.98320940535"
"image 22","374.3868","20.008094528340003"
"image 23","372.9941000000002","19.87940241141"
"image 24","373.5862000000002","19.83661085522999"
"image 25","369.8244000000002","20.00821555154"
"image 26","370.81339999999994","19.896374933159997"
"image 27","371.25619999999986","19.93282773666"
"image 28","371.3523","19.96927206778"
"image 29","372.3219","19.959380606310003"
"image 30","369.68289999999996","19.994230318249997"
"image 31","371.5994000000001","19.981439909979994"
"image 32","373.67499999999984","19.824730277680004"
"image 33","369.79769999999985","20.011297982300004"
"image 34","372.41200000000003","20.029877764659997"
"image 35","371.06630000000007","19.981206736000004"
"image 36","371.0307000000001","20.022970749609996"
"image 37","374.07100000000014","19.866294257179995"
"image 38","369.68580000000003","19.99220977729999"
"image 39","369.26489999999984","19.975925065449996"
"image 40","372.8561","19.891721606869993"
"image 41","373.0769","19.868812542760008"
"image 42","373.16850000000005","19.986958842169997"
"image 43","370.51329999999984","19.945912251480003"
"image 44","370.86","20.01472818436001"
"image 45","371.69899999999996","19.947362930549996"
"image 46","369.0961999999999","19.97888410025"
"image 47","374.2951999999999","19.842846906219997"
"image 48","371.3226000000001","20.000803918260004"
"image 49","373.50589999999994","19.85028754471001"
"image 50","370.9412000000001","20.008673941199998"
"image 51","372.93199999999996","19.877064195250004"
"image 52","373.33649999999994","19.868973299690005"
"image 53","370.9575000000001","19.926219454010003"
"image 54","372.80909999999994","19.893575351670005"
"image 55","372.7725","20.01225949432"
"image 56","369.7132","19.981563882199993"
"image 57","370.8751","19.92782469931"
"image 58","370.4732000000001","19.980888206399996"
"image 59","369.9621000000001","19.972047125190002"
"image 60","370.9799000000001","20.002803000500002"
"image 61","375.58169999999996","19.892803582310002"
"image 62","373.7031999999999","19.83780849209"
"image 63","374.0057","19.864817619870003"
"image 64","370.50719999999995","19.981788904569992"
"image 65","371.3943000000001","19.96720329737"
"image 66","370.41369999999995","19.98169718013"
"image 67","374.56899999999996","19.87883412298"
"image 68","372.9067000000001","20.016473716920004"
"image 69","374.1107000000001","19.839866018640002"
"image 70","370.24760000000003","20.018376329320002"
"image 71","372.1503","19.851348673169994"
"image 72","373.7665999999997","19.841971305599994"
"image 73","371.1492999999999","19.920896380799995"
"image 74","372.07160000000016","19.982768622889992"
"image 75","370.6909000000001","20.010497217479998"
"image 76","370.24410000000006","19.89846885176"
"image 77","371.1515000000001","20.02020313427"
"image 78","373.2965999999999","19.887888719159992"
"image 79","372.38620000000003","19.967634186090002"
"image 80","372.6461","19.879666197259994"
"image 81","372.94370000000004","19.863942398970003"
"image 82","371.40749999999986","19.901006227240003"
"image 83","370.95130000000006","19.968311553690008"
"image 84","369.9118","20.00404465639"
"image 85","371.4226999999999","19.981647158059992"
"image 86","369.50899999999984","20.047843632560003"
"image 87","372.3914999999999","19.888682869069992"
"image 88","371.85139999999984","19.914185406639994"
"image 89","371.22769999999997","19.98449310518"
"image 90","369.2743999999999","19.983216154009998"
"image 91","369.86170000000016","19.988159814449997"
"image 92","373.4337000000001","19.881716985440004"
"image 93","374.00170000000014","19.839530830040005"
"image 94","372.2645","19.999390891229996"
"image 95","370.3931","19.988218176870003"
"image 96","370.42650000000015","19.924605736539995"
"image 97","369.5916999999999","19.97534343699"
"image 98","372.1041000000002","19.996794643980007"
"image 99","372.5805999999999","19.928412111660002"
"image 100","369.76249999999976","19.99783496894001"
