timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/11/16 15:49:15.727, [Not Supported], 9 %, 4 %
2018/11/16 15:49:16.728, [Not Supported], 16 %, 7 %
2018/11/16 15:49:17.729, [Not Supported], 15 %, 5 %
2018/11/16 15:49:18.729, [Not Supported], 22 %, 8 %
2018/11/16 15:49:19.730, [Not Supported], 23 %, 8 %
2018/11/16 15:49:20.730, [Not Supported], 21 %, 7 %
2018/11/16 15:49:21.731, [Not Supported], 10 %, 4 %
2018/11/16 15:49:22.731, [Not Supported], 8 %, 4 %
2018/11/16 15:49:23.731, [Not Supported], 9 %, 4 %
2018/11/16 15:49:24.732, [Not Supported], 10 %, 4 %
2018/11/16 15:49:25.732, [Not Supported], 10 %, 5 %
2018/11/16 15:49:26.733, [Not Supported], 10 %, 4 %
2018/11/16 15:49:27.733, [Not Supported], 9 %, 4 %
2018/11/16 15:49:28.733, [Not Supported], 8 %, 4 %
2018/11/16 15:49:29.734, [Not Supported], 10 %, 5 %
2018/11/16 15:49:30.734, [Not Supported], 10 %, 5 %
2018/11/16 15:49:31.734, [Not Supported], 10 %, 5 %
2018/11/16 15:49:32.735, [Not Supported], 55 %, 19 %
2018/11/16 15:49:33.735, [Not Supported], 99 %, 48 %
2018/11/16 15:49:34.736, [Not Supported], 99 %, 40 %
2018/11/16 15:49:35.736, [Not Supported], 10 %, 4 %
2018/11/16 15:49:36.736, [Not Supported], 8 %, 4 %
2018/11/16 15:49:37.737, [Not Supported], 99 %, 36 %
2018/11/16 15:49:38.737, [Not Supported], 9 %, 4 %
2018/11/16 15:49:39.737, [Not Supported], 9 %, 4 %
2018/11/16 15:49:40.738, [Not Supported], 100 %, 68 %
2018/11/16 15:49:41.738, [Not Supported], 9 %, 5 %
2018/11/16 15:49:42.739, [Not Supported], 10 %, 5 %
2018/11/16 15:49:43.739, [Not Supported], 10 %, 4 %
2018/11/16 15:49:44.739, [Not Supported], 8 %, 4 %
2018/11/16 15:49:45.740, [Not Supported], 12 %, 5 %
2018/11/16 15:49:46.740, [Not Supported], 8 %, 4 %
2018/11/16 15:49:47.741, [Not Supported], 99 %, 52 %
2018/11/16 15:49:48.741, [Not Supported], 14 %, 5 %
2018/11/16 15:49:49.741, [Not Supported], 13 %, 6 %
2018/11/16 15:49:50.742, [Not Supported], 9 %, 4 %
2018/11/16 15:49:51.742, [Not Supported], 17 %, 8 %
2018/11/16 15:49:52.743, [Not Supported], 8 %, 4 %
2018/11/16 15:49:53.743, [Not Supported], 8 %, 4 %
2018/11/16 15:49:54.744, [Not Supported], 12 %, 5 %
2018/11/16 15:49:55.745, [Not Supported], 10 %, 4 %
2018/11/16 15:49:56.745, [Not Supported], 10 %, 4 %
2018/11/16 15:49:57.746, [Not Supported], 12 %, 5 %
