timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/11/16 15:48:45.000, [Not Supported], 13 %, 4 %
2018/11/16 15:48:46.001, [Not Supported], 11 %, 3 %
2018/11/16 15:48:47.001, [Not Supported], 17 %, 6 %
2018/11/16 15:48:48.002, [Not Supported], 8 %, 4 %
2018/11/16 15:48:49.002, [Not Supported], 9 %, 4 %
2018/11/16 15:48:50.002, [Not Supported], 11 %, 5 %
2018/11/16 15:48:51.003, [Not Supported], 8 %, 4 %
2018/11/16 15:48:52.003, [Not Supported], 10 %, 5 %
2018/11/16 15:48:53.004, [Not Supported], 11 %, 5 %
2018/11/16 15:48:54.004, [Not Supported], 22 %, 8 %
2018/11/16 15:48:55.005, [Not Supported], 10 %, 5 %
2018/11/16 15:48:56.005, [Not Supported], 20 %, 6 %
2018/11/16 15:48:57.005, [Not Supported], 100 %, 67 %
2018/11/16 15:48:58.006, [Not Supported], 100 %, 56 %
2018/11/16 15:48:59.006, [Not Supported], 10 %, 4 %
2018/11/16 15:49:00.006, [Not Supported], 53 %, 33 %
2018/11/16 15:49:01.007, [Not Supported], 100 %, 81 %
2018/11/16 15:49:02.007, [Not Supported], 100 %, 68 %
2018/11/16 15:49:03.008, [Not Supported], 68 %, 39 %
2018/11/16 15:49:04.008, [Not Supported], 11 %, 5 %
2018/11/16 15:49:05.009, [Not Supported], 100 %, 72 %
2018/11/16 15:49:06.009, [Not Supported], 9 %, 4 %
2018/11/16 15:49:07.009, [Not Supported], 12 %, 6 %
2018/11/16 15:49:08.010, [Not Supported], 11 %, 5 %
2018/11/16 15:49:09.010, [Not Supported], 23 %, 8 %
2018/11/16 15:49:10.011, [Not Supported], 9 %, 4 %
2018/11/16 15:49:11.011, [Not Supported], 100 %, 78 %
2018/11/16 15:49:12.011, [Not Supported], 100 %, 54 %
2018/11/16 15:49:13.012, [Not Supported], 100 %, 64 %
2018/11/16 15:49:14.012, [Not Supported], 99 %, 54 %
2018/11/16 15:49:15.013, [Not Supported], 99 %, 60 %
2018/11/16 15:49:16.013, [Not Supported], 46 %, 15 %
2018/11/16 15:49:17.013, [Not Supported], 10 %, 4 %
2018/11/16 15:49:18.016, [Not Supported], 9 %, 4 %
2018/11/16 15:49:19.016, [Not Supported], 25 %, 10 %
2018/11/16 15:49:20.017, [Not Supported], 24 %, 9 %
2018/11/16 15:49:21.017, [Not Supported], 9 %, 4 %
2018/11/16 15:49:22.018, [Not Supported], 9 %, 4 %
2018/11/16 15:49:23.018, [Not Supported], 11 %, 5 %
2018/11/16 15:49:24.019, [Not Supported], 9 %, 4 %
2018/11/16 15:49:25.019, [Not Supported], 9 %, 4 %
2018/11/16 15:49:26.019, [Not Supported], 11 %, 5 %
2018/11/16 15:49:27.020, [Not Supported], 8 %, 4 %
2018/11/16 15:49:28.020, [Not Supported], 9 %, 4 %
2018/11/16 15:49:29.020, [Not Supported], 13 %, 5 %
2018/11/16 15:49:30.021, [Not Supported], 10 %, 5 %
2018/11/16 15:49:31.021, [Not Supported], 10 %, 5 %
2018/11/16 15:49:32.022, [Not Supported], 13 %, 4 %
2018/11/16 15:49:33.022, [Not Supported], 100 %, 46 %
2018/11/16 15:49:34.022, [Not Supported], 99 %, 46 %
2018/11/16 15:49:35.023, [Not Supported], 99 %, 35 %
2018/11/16 15:49:36.023, [Not Supported], 8 %, 3 %
2018/11/16 15:49:37.023, [Not Supported], 9 %, 4 %
2018/11/16 15:49:38.024, [Not Supported], 99 %, 64 %
2018/11/16 15:49:39.024, [Not Supported], 9 %, 4 %
2018/11/16 15:49:40.025, [Not Supported], 10 %, 5 %
2018/11/16 15:49:41.025, [Not Supported], 74 %, 25 %
2018/11/16 15:49:42.025, [Not Supported], 9 %, 4 %
2018/11/16 15:49:43.026, [Not Supported], 9 %, 4 %
2018/11/16 15:49:44.026, [Not Supported], 14 %, 6 %
2018/11/16 15:49:45.027, [Not Supported], 9 %, 4 %
2018/11/16 15:49:46.027, [Not Supported], 9 %, 4 %
2018/11/16 15:49:47.027, [Not Supported], 100 %, 64 %
2018/11/16 15:49:48.028, [Not Supported], 99 %, 70 %
2018/11/16 15:49:49.028, [Not Supported], 9 %, 4 %
2018/11/16 15:49:50.028, [Not Supported], 9 %, 4 %
2018/11/16 15:49:51.029, [Not Supported], 17 %, 7 %
2018/11/16 15:49:52.029, [Not Supported], 9 %, 4 %
2018/11/16 15:49:53.029, [Not Supported], 10 %, 4 %
2018/11/16 15:49:54.030, [Not Supported], 10 %, 4 %
2018/11/16 15:49:55.030, [Not Supported], 10 %, 4 %
2018/11/16 15:49:56.031, [Not Supported], 10 %, 4 %
2018/11/16 15:49:57.032, [Not Supported], 10 %, 4 %
2018/11/16 15:49:58.032, [Not Supported], 10 %, 4 %
2018/11/16 15:49:59.033, [Not Supported], 10 %, 4 %
2018/11/16 15:50:00.033, [Not Supported], 9 %, 4 %
2018/11/16 15:50:01.034, [Not Supported], 9 %, 4 %
2018/11/16 15:50:02.034, [Not Supported], 10 %, 4 %
2018/11/16 15:50:03.035, [Not Supported], 10 %, 4 %
2018/11/16 15:50:04.036, [Not Supported], 10 %, 4 %
2018/11/16 15:50:05.036, [Not Supported], 10 %, 4 %
2018/11/16 15:50:06.037, [Not Supported], 13 %, 5 %
2018/11/16 15:50:07.037, [Not Supported], 11 %, 5 %
2018/11/16 15:50:08.038, [Not Supported], 12 %, 5 %
2018/11/16 15:50:09.039, [Not Supported], 9 %, 4 %
2018/11/16 15:50:10.039, [Not Supported], 10 %, 4 %
2018/11/16 15:50:11.040, [Not Supported], 10 %, 5 %
2018/11/16 15:50:12.040, [Not Supported], 9 %, 4 %
2018/11/16 15:50:13.041, [Not Supported], 9 %, 4 %
2018/11/16 15:50:14.042, [Not Supported], 9 %, 4 %
2018/11/16 15:50:15.042, [Not Supported], 9 %, 4 %
2018/11/16 15:50:16.042, [Not Supported], 9 %, 4 %
2018/11/16 15:50:17.043, [Not Supported], 10 %, 4 %
2018/11/16 15:50:18.044, [Not Supported], 9 %, 4 %
2018/11/16 15:50:19.045, [Not Supported], 12 %, 5 %
2018/11/16 15:50:20.045, [Not Supported], 10 %, 4 %
2018/11/16 15:50:21.046, [Not Supported], 10 %, 4 %
2018/11/16 15:50:22.047, [Not Supported], 13 %, 5 %
2018/11/16 15:50:23.047, [Not Supported], 11 %, 5 %
2018/11/16 15:50:24.048, [Not Supported], 12 %, 5 %
2018/11/16 15:50:25.048, [Not Supported], 13 %, 5 %
2018/11/16 15:50:26.049, [Not Supported], 11 %, 5 %
2018/11/16 15:50:27.050, [Not Supported], 9 %, 4 %
2018/11/16 15:50:28.051, [Not Supported], 13 %, 5 %
2018/11/16 15:50:29.051, [Not Supported], 11 %, 5 %
2018/11/16 15:50:30.052, [Not Supported], 10 %, 4 %
2018/11/16 15:50:31.052, [Not Supported], 9 %, 4 %
2018/11/16 15:50:32.053, [Not Supported], 8 %, 4 %
2018/11/16 15:50:33.053, [Not Supported], 11 %, 5 %
2018/11/16 15:50:34.054, [Not Supported], 9 %, 4 %
2018/11/16 15:50:35.054, [Not Supported], 11 %, 5 %
2018/11/16 15:50:36.055, [Not Supported], 9 %, 4 %
2018/11/16 15:50:37.055, [Not Supported], 10 %, 4 %
2018/11/16 15:50:38.056, [Not Supported], 8 %, 4 %
2018/11/16 15:50:39.056, [Not Supported], 11 %, 5 %
2018/11/16 15:50:40.057, [Not Supported], 8 %, 4 %
2018/11/16 15:50:41.057, [Not Supported], 10 %, 4 %
2018/11/16 15:50:42.058, [Not Supported], 9 %, 4 %
2018/11/16 15:50:43.059, [Not Supported], 9 %, 4 %
2018/11/16 15:50:44.059, [Not Supported], 9 %, 4 %
2018/11/16 15:50:45.060, [Not Supported], 10 %, 4 %
2018/11/16 15:50:46.060, [Not Supported], 10 %, 4 %
2018/11/16 15:50:47.061, [Not Supported], 9 %, 4 %
2018/11/16 15:50:48.062, [Not Supported], 10 %, 4 %
2018/11/16 15:50:49.062, [Not Supported], 20 %, 13 %
2018/11/16 15:50:50.063, [Not Supported], 20 %, 13 %
2018/11/16 15:50:51.064, [Not Supported], 22 %, 23 %
2018/11/16 15:50:52.065, [Not Supported], 37 %, 26 %
2018/11/16 15:50:53.065, [Not Supported], 40 %, 26 %
2018/11/16 15:50:54.066, [Not Supported], 44 %, 28 %
2018/11/16 15:50:55.067, [Not Supported], 42 %, 28 %
2018/11/16 15:50:56.068, [Not Supported], 38 %, 26 %
2018/11/16 15:50:57.068, [Not Supported], 48 %, 31 %
2018/11/16 15:50:58.069, [Not Supported], 44 %, 29 %
2018/11/16 15:50:59.070, [Not Supported], 44 %, 29 %
2018/11/16 15:51:00.070, [Not Supported], 44 %, 29 %
2018/11/16 15:51:01.071, [Not Supported], 43 %, 28 %
2018/11/16 15:51:02.072, [Not Supported], 36 %, 24 %
2018/11/16 15:51:03.073, [Not Supported], 49 %, 31 %
2018/11/16 15:51:04.074, [Not Supported], 42 %, 28 %
2018/11/16 15:51:05.075, [Not Supported], 46 %, 29 %
2018/11/16 15:51:06.076, [Not Supported], 46 %, 30 %
2018/11/16 15:51:07.077, [Not Supported], 39 %, 24 %
2018/11/16 15:51:08.078, [Not Supported], 47 %, 29 %
2018/11/16 15:51:09.079, [Not Supported], 41 %, 26 %
2018/11/16 15:51:10.079, [Not Supported], 45 %, 28 %
2018/11/16 15:51:11.080, [Not Supported], 44 %, 28 %
2018/11/16 15:51:12.081, [Not Supported], 51 %, 28 %
2018/11/16 15:51:13.081, [Not Supported], 45 %, 28 %
2018/11/16 15:51:14.082, [Not Supported], 44 %, 29 %
2018/11/16 15:51:15.082, [Not Supported], 45 %, 28 %
2018/11/16 15:51:16.083, [Not Supported], 46 %, 29 %
2018/11/16 15:51:17.084, [Not Supported], 40 %, 25 %
2018/11/16 15:51:18.085, [Not Supported], 46 %, 28 %
2018/11/16 15:51:19.085, [Not Supported], 44 %, 28 %
2018/11/16 15:51:20.086, [Not Supported], 37 %, 23 %
2018/11/16 15:51:21.086, [Not Supported], 41 %, 26 %
2018/11/16 15:51:22.087, [Not Supported], 46 %, 29 %
2018/11/16 15:51:23.088, [Not Supported], 42 %, 26 %
2018/11/16 15:51:24.088, [Not Supported], 46 %, 29 %
2018/11/16 15:51:25.089, [Not Supported], 41 %, 26 %
2018/11/16 15:51:26.090, [Not Supported], 42 %, 26 %
2018/11/16 15:51:27.091, [Not Supported], 38 %, 25 %
2018/11/16 15:51:28.092, [Not Supported], 46 %, 29 %
2018/11/16 15:51:29.092, [Not Supported], 38 %, 24 %
2018/11/16 15:51:30.093, [Not Supported], 41 %, 26 %
2018/11/16 15:51:31.094, [Not Supported], 42 %, 26 %
2018/11/16 15:51:32.094, [Not Supported], 41 %, 26 %
2018/11/16 15:51:33.096, [Not Supported], 40 %, 25 %
2018/11/16 15:51:34.097, [Not Supported], 46 %, 29 %
2018/11/16 15:51:35.098, [Not Supported], 41 %, 26 %
2018/11/16 15:51:36.099, [Not Supported], 41 %, 26 %
2018/11/16 15:51:37.099, [Not Supported], 42 %, 26 %
2018/11/16 15:51:38.100, [Not Supported], 41 %, 26 %
2018/11/16 15:51:39.101, [Not Supported], 45 %, 28 %
2018/11/16 15:51:40.102, [Not Supported], 42 %, 27 %
2018/11/16 15:51:41.103, [Not Supported], 39 %, 25 %
2018/11/16 15:51:42.104, [Not Supported], 38 %, 24 %
2018/11/16 15:51:43.104, [Not Supported], 46 %, 29 %
2018/11/16 15:51:44.105, [Not Supported], 55 %, 34 %
2018/11/16 15:51:45.106, [Not Supported], 39 %, 25 %
2018/11/16 15:51:46.107, [Not Supported], 41 %, 26 %
2018/11/16 15:51:47.107, [Not Supported], 55 %, 34 %
2018/11/16 15:51:48.108, [Not Supported], 46 %, 29 %
2018/11/16 15:51:49.109, [Not Supported], 41 %, 26 %
2018/11/16 15:51:50.110, [Not Supported], 51 %, 30 %
2018/11/16 15:51:51.111, [Not Supported], 41 %, 26 %
2018/11/16 15:51:52.112, [Not Supported], 42 %, 26 %
2018/11/16 15:51:53.113, [Not Supported], 52 %, 30 %
2018/11/16 15:51:54.114, [Not Supported], 45 %, 28 %
2018/11/16 15:51:55.115, [Not Supported], 45 %, 29 %
2018/11/16 15:51:56.116, [Not Supported], 56 %, 32 %
2018/11/16 15:51:57.117, [Not Supported], 45 %, 29 %
2018/11/16 15:51:58.117, [Not Supported], 42 %, 27 %
2018/11/16 15:51:59.119, [Not Supported], 33 %, 21 %
2018/11/16 15:52:00.119, [Not Supported], 39 %, 25 %
2018/11/16 15:52:01.120, [Not Supported], 42 %, 27 %
2018/11/16 15:52:02.121, [Not Supported], 50 %, 31 %
2018/11/16 15:52:03.122, [Not Supported], 45 %, 29 %
2018/11/16 15:52:04.124, [Not Supported], 45 %, 29 %
2018/11/16 15:52:05.124, [Not Supported], 42 %, 26 %
2018/11/16 15:52:06.125, [Not Supported], 41 %, 26 %
2018/11/16 15:52:07.126, [Not Supported], 41 %, 26 %
2018/11/16 15:52:08.126, [Not Supported], 37 %, 23 %
2018/11/16 15:52:09.127, [Not Supported], 46 %, 29 %
2018/11/16 15:52:10.128, [Not Supported], 41 %, 26 %
2018/11/16 15:52:11.129, [Not Supported], 45 %, 29 %
2018/11/16 15:52:12.129, [Not Supported], 45 %, 28 %
2018/11/16 15:52:13.130, [Not Supported], 45 %, 29 %
2018/11/16 15:52:14.131, [Not Supported], 41 %, 26 %
2018/11/16 15:52:15.132, [Not Supported], 44 %, 29 %
2018/11/16 15:52:16.133, [Not Supported], 45 %, 29 %
2018/11/16 15:52:17.134, [Not Supported], 40 %, 26 %
2018/11/16 15:52:18.135, [Not Supported], 36 %, 23 %
2018/11/16 15:52:19.135, [Not Supported], 44 %, 28 %
2018/11/16 15:52:20.136, [Not Supported], 45 %, 29 %
2018/11/16 15:52:21.137, [Not Supported], 44 %, 28 %
2018/11/16 15:52:22.138, [Not Supported], 39 %, 26 %
2018/11/16 15:52:23.139, [Not Supported], 44 %, 28 %
2018/11/16 15:52:24.140, [Not Supported], 41 %, 26 %
2018/11/16 15:52:25.141, [Not Supported], 47 %, 28 %
2018/11/16 15:52:26.142, [Not Supported], 42 %, 26 %
2018/11/16 15:52:27.142, [Not Supported], 38 %, 24 %
2018/11/16 15:52:28.143, [Not Supported], 39 %, 26 %
2018/11/16 15:52:29.144, [Not Supported], 42 %, 27 %
2018/11/16 15:52:30.145, [Not Supported], 47 %, 30 %
2018/11/16 15:52:31.146, [Not Supported], 49 %, 29 %
2018/11/16 15:52:32.147, [Not Supported], 44 %, 28 %
2018/11/16 15:52:33.147, [Not Supported], 44 %, 28 %
2018/11/16 15:52:34.148, [Not Supported], 52 %, 29 %
2018/11/16 15:52:35.149, [Not Supported], 45 %, 28 %
2018/11/16 15:52:36.150, [Not Supported], 38 %, 24 %
2018/11/16 15:52:37.151, [Not Supported], 48 %, 27 %
2018/11/16 15:52:38.152, [Not Supported], 43 %, 27 %
2018/11/16 15:52:39.153, [Not Supported], 41 %, 26 %
2018/11/16 15:52:40.154, [Not Supported], 48 %, 29 %
2018/11/16 15:52:41.155, [Not Supported], 39 %, 26 %
2018/11/16 15:52:42.156, [Not Supported], 46 %, 29 %
2018/11/16 15:52:43.157, [Not Supported], 54 %, 32 %
2018/11/16 15:52:44.158, [Not Supported], 43 %, 28 %
2018/11/16 15:52:45.159, [Not Supported], 43 %, 27 %
2018/11/16 15:52:46.159, [Not Supported], 45 %, 27 %
2018/11/16 15:52:47.160, [Not Supported], 39 %, 25 %
2018/11/16 15:52:48.161, [Not Supported], 41 %, 26 %
2018/11/16 15:52:49.161, [Not Supported], 45 %, 29 %
