timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/11/16 15:49:49.302, [Not Supported], 9 %, 4 %
2018/11/16 15:49:50.303, [Not Supported], 12 %, 5 %
2018/11/16 15:49:51.303, [Not Supported], 12 %, 4 %
2018/11/16 15:49:52.304, [Not Supported], 10 %, 4 %
2018/11/16 15:49:53.304, [Not Supported], 12 %, 5 %
2018/11/16 15:49:54.305, [Not Supported], 10 %, 4 %
2018/11/16 15:49:55.305, [Not Supported], 10 %, 4 %
2018/11/16 15:49:56.306, [Not Supported], 11 %, 4 %
2018/11/16 15:49:57.307, [Not Supported], 10 %, 4 %
2018/11/16 15:49:58.308, [Not Supported], 10 %, 4 %
2018/11/16 15:49:59.308, [Not Supported], 11 %, 5 %
2018/11/16 15:50:00.309, [Not Supported], 11 %, 5 %
2018/11/16 15:50:01.310, [Not Supported], 10 %, 4 %
2018/11/16 15:50:02.310, [Not Supported], 10 %, 4 %
2018/11/16 15:50:03.311, [Not Supported], 10 %, 4 %
2018/11/16 15:50:04.311, [Not Supported], 10 %, 4 %
2018/11/16 15:50:05.312, [Not Supported], 9 %, 4 %
2018/11/16 15:50:06.313, [Not Supported], 13 %, 5 %
2018/11/16 15:50:07.313, [Not Supported], 10 %, 4 %
2018/11/16 15:50:08.314, [Not Supported], 9 %, 4 %
2018/11/16 15:50:09.314, [Not Supported], 10 %, 4 %
2018/11/16 15:50:10.315, [Not Supported], 10 %, 5 %
2018/11/16 15:50:11.315, [Not Supported], 9 %, 4 %
2018/11/16 15:50:12.316, [Not Supported], 9 %, 4 %
2018/11/16 15:50:13.317, [Not Supported], 10 %, 4 %
2018/11/16 15:50:14.317, [Not Supported], 10 %, 4 %
2018/11/16 15:50:15.318, [Not Supported], 9 %, 4 %
2018/11/16 15:50:16.318, [Not Supported], 9 %, 4 %
2018/11/16 15:50:17.319, [Not Supported], 10 %, 4 %
2018/11/16 15:50:18.319, [Not Supported], 11 %, 5 %
2018/11/16 15:50:19.320, [Not Supported], 9 %, 4 %
2018/11/16 15:50:20.321, [Not Supported], 10 %, 4 %
2018/11/16 15:50:21.321, [Not Supported], 10 %, 4 %
2018/11/16 15:50:22.322, [Not Supported], 10 %, 4 %
2018/11/16 15:50:23.323, [Not Supported], 10 %, 4 %
2018/11/16 15:50:24.323, [Not Supported], 11 %, 5 %
2018/11/16 15:50:25.324, [Not Supported], 10 %, 4 %
2018/11/16 15:50:26.325, [Not Supported], 9 %, 4 %
2018/11/16 15:50:27.325, [Not Supported], 11 %, 5 %
2018/11/16 15:50:28.326, [Not Supported], 11 %, 5 %
2018/11/16 15:50:29.326, [Not Supported], 10 %, 4 %
2018/11/16 15:50:30.327, [Not Supported], 8 %, 4 %
2018/11/16 15:50:31.328, [Not Supported], 10 %, 4 %
2018/11/16 15:50:32.328, [Not Supported], 8 %, 4 %
2018/11/16 15:50:33.329, [Not Supported], 10 %, 4 %
2018/11/16 15:50:34.329, [Not Supported], 11 %, 5 %
2018/11/16 15:50:35.330, [Not Supported], 8 %, 4 %
2018/11/16 15:50:36.330, [Not Supported], 11 %, 5 %
2018/11/16 15:50:37.331, [Not Supported], 12 %, 5 %
2018/11/16 15:50:38.332, [Not Supported], 10 %, 4 %
2018/11/16 15:50:39.332, [Not Supported], 10 %, 4 %
